日期,天气状况,最高气温(℃),最低气温(℃),风力风向
2026年05月01日,多云 /  阴,26.0,14.0,东风 1-3级 / 东北风 1-3级
2026年05月02日,小雨 /  小雨,23.0,10.0,北风 1-3级 / 北风 1-3级
2026年05月03日,多云 /  多云,21.0,8.0,北风 1-3级 / 西风 1-3级
2026年05月04日,晴 /  晴,26.0,12.0,西南风 1-3级 / 南风 1-3级
2026年05月05日,晴 /  多云,29.0,17.0,西南风 1-3级 / 南风 1-3级
2026年05月06日,多云 /  晴,25.0,14.0,北风 1-3级 / 北风 1-3级
2026年05月07日,晴 /  晴,24.0,10.0,北风 1-3级 / 西北风 1-3级
2026年05月08日,晴 /  多云,27.0,14.0,南风 1-3级 / 南风 1-3级
2026年05月09日,阴 /  多云,25.0,14.0,南风 1-3级 / 西北风 1-3级
2026年05月10日,多云 /  晴,32.0,15.0,西北风 1-3级 / 东北风 1-3级
2026年05月11日,晴 /  多云,30.0,16.0,东南风 1-3级 / 南风 1-3级
2026年05月12日,晴 /  晴,31.0,19.0,南风 1-3级 / 南风 1-3级
2026年05月13日,晴 /  晴,34.0,21.0,南风 1-3级 / 东风 1-3级
2026年05月14日,晴 /  晴,32.0,20.0,南风 1-3级 / 东风 1-3级
2026年05月15日,多云 /  阴,28.0,20.0,东南风 1-3级 / 东北风 1-3级
2026年05月16日,小雨 /  小雨,24.0,18.0,东风 1-3级 / 东南风 1-3级
2026年05月17日,大雨 /  中雨,20.0,18.0,东风 1-3级 / 东北风 1-3级
2026年05月18日,晴 /  阴,27.0,17.0,北风 1-3级 / 东南风 1-3级
2026年05月19日,多云 /  小雨,25.0,18.0,东南风 1-3级 / 东风 1-3级
2026年05月20日,阴 /  多云,25.0,16.0,东风 1-3级 / 西南风 1-3级
2026年05月21日,多云 /  小雨,25.0,17.0,西南风 1-3级 / 南风 1-3级
2026年05月22日,小雨 /  阴,21.0,17.0,东风 1-3级 / 东南风 1-3级
2026年05月23日,多云 /  多云,25.0,18.0,南风 1-3级 / 南风 1-3级
2026年05月24日,多云 /  多云,28.0,17.0,南风 1-3级 / 东南风 1-3级
2026年05月25日,小雨 /  阴,21.0,16.0,东北风 1-3级 / 北风 1-3级
2026年05月26日,多云 /  多云,25.0,17.0,北风 1-3级 / 南风 1-3级
2026年05月27日,多云 /  晴,28.0,19.0,西南风 1-3级 / 北风 1-3级
2026年05月28日,晴 /  晴,28.0,16.0,北风 1-3级 / 西南风 1-3级
2026年05月29日,晴 /  晴,32.0,17.0,西南风 1-3级 / 西南风 1-3级
2026年05月30日,晴 /  晴,34.0,20.0,西南风 1-3级 / 西南风 1-3级
2026年05月31日,多云 /  晴,33.0,20.0,西南风 1-3级 / 北风 1-3级
